Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,28.309999,31.719999,27.129999,30.450001,25.299393,184052600
2010-08-01,30.889999,33.790001,30.820000,31.719999,26.354572,175165600
2010-09-01,32.009998,35.939999,31.840000,35.110001,29.171156,160229900
2010-10-01,35.070000,37.950001,33.939999,36.049999,30.062616,171901700
2010-11-01,36.270000,37.500000,34.500000,36.520000,30.454548,180833400
2010-12-01,37.139999,38.060001,34.939999,36.110001,30.112648,159579700
2011-01-01,36.380001,42.439999,36.369999,41.049999,34.345028,162433900
2011-02-01,41.360001,44.330002,40.900002,42.580002,35.625111,125298200
2011-03-01,42.560001,45.750000,41.459999,45.200001,37.817165,121843800
2011-04-01,45.500000,49.400002,43.299999,49.230000,41.307461,136937300
2011-05-01,49.400002,51.459999,46.970001,48.950001,41.072525,158332700
2011-06-01,48.700001,52.639999,47.570000,51.580002,43.279278,165969400
2011-07-01,51.840000,53.500000,48.110001,49.630001,41.780979,148267000
2011-08-01,50.279999,50.360001,41.270000,47.520000,40.004669,231912900
2011-09-01,47.580002,51.240002,44.090000,46.119999,38.826073,178852800
2011-10-01,45.770000,50.000000,41.320000,47.990002,40.540401,181413500
2011-11-01,46.810001,48.880001,43.419998,48.770000,41.199326,144450500
2011-12-01,48.590000,51.709999,47.630001,50.680000,42.812832,132044300
2012-01-01,51.240002,54.180000,49.820000,51.790001,43.898888,156819300
2012-02-01,52.160000,56.160000,50.680000,55.750000,47.255501,132436700
2012-03-01,55.750000,59.430000,53.400002,58.939999,49.959450,139862700
2012-04-01,58.939999,59.709999,55.480000,56.150002,47.734116,134294800
2012-05-01,56.270000,57.419998,53.779999,55.770000,47.411087,115177500
2012-06-01,55.220001,60.750000,54.689999,58.500000,49.731895,165413900
2012-07-01,58.889999,59.310001,50.889999,51.090000,43.593048,165278500
2012-08-01,51.209999,55.029999,50.320000,54.299999,46.332024,120000500
2012-09-01,54.400002,56.750000,52.580002,55.410000,47.279144,133898300
2012-10-01,55.720001,58.290001,55.340000,56.000000,47.976120,107598600
2012-11-01,55.860001,57.240002,51.090000,54.389999,46.596779,137959500
2012-12-01,54.560001,55.820000,53.279999,54.240002,46.468292,94058200
2013-01-01,54.880001,56.689999,51.360001,55.209999,47.487835,161036700
2013-02-01,55.740002,58.259998,52.509998,53.450001,45.974007,120496500
2013-03-01,53.340000,57.310001,52.880001,57.209999,49.208103,109815200
2013-04-01,57.160000,63.950001,57.009998,59.930000,51.747746,157336600
2013-05-01,59.959999,64.900002,58.869999,62.630001,54.079105,119800600
2013-06-01,62.889999,66.190002,60.950001,65.480003,56.540005,103889300
2013-07-01,65.889999,73.660004,64.650002,72.849998,63.180908,116538400
2013-08-01,73.230003,73.669998,71.000000,71.739998,62.218235,70393400
2013-09-01,71.809998,75.879997,70.400002,71.610001,62.105495,88995300
2013-10-01,71.739998,75.489998,66.720001,68.260002,59.423069,154282100
2013-11-01,68.269997,74.989998,67.949997,74.480003,64.837830,77403500
2013-12-01,73.639999,75.540001,70.199997,75.300003,65.551651,87821400
2014-01-01,74.910004,77.330002,70.839996,72.279999,63.162510,111391100
2014-02-01,72.139999,77.709999,69.570000,77.269997,67.523071,100618500
2014-03-01,76.699997,83.320000,75.650002,81.989998,71.647690,104454400
2014-04-01,82.349998,83.050003,73.610001,75.040001,65.811287,112712300
2014-05-01,75.050003,79.739998,74.260002,79.629997,69.836792,73562500
2014-06-01,79.769997,82.540001,77.529999,81.750000,71.696083,75611400
2014-07-01,81.739998,87.239998,80.550003,81.050003,71.416191,87663600
2014-08-01,81.139999,87.230003,78.739998,86.680000,76.376991,69078600
2014-09-01,87.120003,88.849998,85.580002,86.250000,75.998131,67055400
2014-10-01,86.000000,95.669998,80.720001,95.010002,84.072876,108326400
2014-11-01,95.449997,99.419998,93.010002,98.629997,87.276161,68331900
2014-12-01,98.750000,104.000000,95.750000,101.089996,89.452972,82445400
2015-01-01,101.500000,114.320000,98.459999,106.250000,94.373482,100742400
2015-02-01,106.730003,116.580002,105.070000,113.629997,100.928551,76172000
2015-03-01,113.629997,123.760002,111.650002,118.290001,105.067673,83244700
2015-04-01,119.519997,122.320000,111.120003,111.400002,99.278885,86883100
2015-05-01,112.290001,121.849998,111.739998,120.209999,107.130287,72260800
2015-06-01,120.540001,124.110001,115.360001,122.000000,108.725525,106449200
2015-07-01,122.949997,126.050003,116.660004,121.400002,108.649063,95034600
2015-08-01,121.610001,126.209999,95.000000,115.699997,103.547752,84232500
2015-09-01,113.360001,125.120003,111.010002,116.010002,103.825165,94372800
2015-10-01,115.940002,125.989998,110.070000,117.779999,105.865219,105913800
2015-11-01,118.639999,119.949997,109.610001,112.709999,101.308113,82097600
2015-12-01,113.529999,121.089996,113.050003,117.639999,105.739388,76147300
2016-01-01,116.910004,117.889999,107.510002,115.160004,103.957359,88345100
2016-02-01,114.830002,122.260002,108.830002,119.099998,107.514076,72337900
2016-03-01,119.489998,131.100006,119.370003,128.899994,116.360756,70857500
2016-04-01,128.690002,135.110001,125.260002,131.679993,119.360878,71253100
2016-05-01,132.610001,134.750000,128.529999,133.669998,121.164680,55534400
2016-06-01,133.580002,141.309998,133.020004,141.199997,127.990234,76424000
2016-07-01,141.160004,144.479996,139.320007,143.199997,130.394211,71163700
2016-08-01,143.419998,144.160004,135.550003,136.050003,123.883652,50523900
2016-09-01,136.820007,141.779999,132.389999,140.000000,127.480354,67502400
2016-10-01,139.350006,146.360001,133.029999,141.330002,129.285736,82024500
2016-11-01,141.509995,159.759995,136.220001,158.320007,144.827820,96049600
2016-12-01,159.119995,164.000000,156.229996,160.039993,146.984146,76784500
2017-01-01,161.130005,163.800003,156.089996,162.100006,148.876160,72828900
2017-02-01,162.750000,166.759995,156.490005,165.380005,151.888535,72701100
2017-03-01,166.720001,172.139999,162.740005,164.009995,150.630295,84728500
2017-04-01,164.619995,176.070007,164.250000,174.880005,161.212219,61871600
2017-05-01,175.000000,178.889999,166.649994,175.179993,161.488785,63390800
2017-06-01,175.779999,188.660004,175.190002,185.419998,170.928467,65419100
2017-07-01,186.289993,193.000000,183.860001,191.809998,177.549240,55903600
2017-08-01,193.399994,199.490005,190.630005,198.899994,184.112122,50905300
