Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,36.540001,41.240002,35.160000,40.279999,29.189983,832405700
2010-08-01,40.980000,41.700001,35.549999,36.360001,26.385298,723429400
2010-09-01,36.740002,41.500000,36.660000,38.060001,27.618942,717143800
2010-10-01,38.340000,40.720001,36.209999,37.630001,27.306892,949249000
2010-11-01,37.610001,41.340000,36.830002,37.400002,27.174997,760406300
2010-12-01,37.950001,43.119999,37.650002,42.419998,30.822546,665999200
2011-01-01,43.000000,45.939999,42.650002,44.939999,32.653606,827482200
2011-02-01,45.200001,48.360001,44.299999,46.689999,33.964104,597586300
2011-03-01,46.470001,47.099998,43.400002,46.099998,33.534924,684643600
2011-04-01,46.549999,47.799999,43.529999,45.630001,33.193050,577996200
2011-05-01,45.939999,46.070000,41.689999,43.240002,31.625046,586460300
2011-06-01,42.869999,42.990002,39.240002,40.939999,29.942858,807200100
2011-07-01,40.810001,42.549999,38.930000,40.450001,29.584467,666695700
2011-08-01,41.160000,41.369999,32.310001,37.560001,27.639549,1190346900
2011-09-01,37.619999,37.820000,28.530001,30.120001,22.164633,1031994300
2011-10-01,30.030001,37.540001,27.850000,34.759998,25.579090,1065099100
2011-11-01,32.470001,35.180000,28.280001,30.969999,22.990738,836433900
2011-12-01,30.860001,34.189999,30.030001,33.250000,24.683313,818108000
2012-01-01,34.060001,38.099998,34.009998,37.299999,27.689854,722165800
2012-02-01,37.889999,39.939999,37.049999,39.240002,29.339706,565332000
2012-03-01,39.509998,46.490002,39.119999,45.980000,34.379200,820652500
2012-04-01,45.750000,46.349998,41.799999,42.980000,32.136108,617224800
2012-05-01,43.000000,44.240002,32.259998,33.150002,24.948475,1294302900
2012-06-01,32.410000,37.029999,30.830000,35.730000,26.890158,1033963700
2012-07-01,36.270000,37.200001,33.099998,36.000000,27.093363,814935400
2012-08-01,36.189999,38.860001,34.759998,37.139999,28.184368,468135900
2012-09-01,36.980000,42.090000,36.779999,40.480000,30.718992,485796100
2012-10-01,40.880001,43.540001,40.419998,41.680000,31.629641,517965600
2012-11-01,41.700001,43.070000,38.830002,41.080002,31.404558,467570200
2012-12-01,41.270000,44.540001,40.200001,43.970001,33.613876,461095700
2013-01-01,44.980000,47.349998,44.200001,47.049999,35.968449,522625800
2013-02-01,47.400002,49.680000,46.849998,48.919998,37.654934,450398100
2013-03-01,48.599998,51.000000,47.279999,47.459999,36.531128,499332300
2013-04-01,47.549999,49.630001,46.049999,49.009998,37.724213,489433900
